Base address,Peripheral name,Offset,Register name,Width,Access
0x400FF000,GPIOA,0x0,GPIOA_PDOR,32,RW
,,0x4,GPIOA_PSOR,32,WORZ
,,0x8,GPIOA_PCOR,32,WORZ
,,0xC,GPIOA_PTOR,32,WORZ
,,0x10,GPIOA_PDIR,32,RO
,,0x14,GPIOA_PDDR,32,RW
,,0x18,GPIOA_PIDR,32,RW
0x400FF040,GPIOB,0x0,GPIOB_PDOR,32,RW
,,0x4,GPIOB_PSOR,32,WORZ
,,0x8,GPIOB_PCOR,32,WORZ
,,0xC,GPIOB_PTOR,32,WORZ
,,0x10,GPIOB_PDIR,32,RO
,,0x14,GPIOB_PDDR,32,RW
,,0x18,GPIOB_PIDR,32,RW
0x400FF080,GPIOC,0x0,GPIOC_PDOR,32,RW
,,0x4,GPIOC_PSOR,32,WORZ
,,0x8,GPIOC_PCOR,32,WORZ
,,0xC,GPIOC_PTOR,32,WORZ
,,0x10,GPIOC_PDIR,32,RO
,,0x14,GPIOC_PDDR,32,RW
,,0x18,GPIOC_PIDR,32,RW
0x400FF0C0,GPIOD,0x0,GPIOD_PDOR,32,RW
,,0x4,GPIOD_PSOR,32,WORZ
,,0x8,GPIOD_PCOR,32,WORZ
,,0xC,GPIOD_PTOR,32,WORZ
,,0x10,GPIOD_PDIR,32,RO
,,0x14,GPIOD_PDDR,32,RW
,,0x18,GPIOD_PIDR,32,RW
0x400FF100,GPIOE,0x0,GPIOE_PDOR,32,RW
,,0x4,GPIOE_PSOR,32,WORZ
,,0x8,GPIOE_PCOR,32,WORZ
,,0xC,GPIOE_PTOR,32,WORZ
,,0x10,GPIOE_PDIR,32,RO
,,0x14,GPIOE_PDDR,32,RW
,,0x18,GPIOE_PIDR,32,RW
EOF,,,,,
