Base address,Peripheral name,Offset,Register name,Width,Access
0xE000E100,INTERUPT_SET,0x0,NVIC_ISER0,32,RW
,,0x4,NVIC_ISER1,32,RW
,,0x8,NVIC_ISER2,32,RW
,,0xC,NVIC_ISER3,32,RW
,,0x10,NVIC_ISER4,32,RW
,,0x14,NVIC_ISER5,32,RW
,,0x18,NVIC_ISER6,32,RW
,,0x1C,NVIC_ISER7,32,RW
0xE000E180,INTERUPT_CLEAR,0x0,NVIC_ICER0,32,RW
,,0x4,NVIC_ICER1,32,RW
,,0x8,NVIC_ICER2,32,RW
,,0xC,NVIC_ICER3,32,RW
,,0x10,NVIC_ICER4,32,RW
,,0x14,NVIC_ICER5,32,RW
,,0x18,NVIC_ICER6,32,RW
,,0x1C,NVIC_ICER7,32,RW
0xE000E200,INTERUPT_SETPEND,0x0,NVIC_ISER0,32,RW
,,0x4,NVIC_ISER1,32,RW
,,0x8,NVIC_ISER2,32,RW
,,0xC,NVIC_ISER3,32,RW
,,0x10,NVIC_ISER4,32,RW
,,0x14,NVIC_ISER5,32,RW
,,0x18,NVIC_ISER6,32,RW
,,0x1C,NVIC_ISER7,32,RW
0xE000E280,INTERUPT_CLEARPEND,0x0,NVIC_ISPR0,32,RW
,,0x4,NVIC_ISPR1,32,RW
,,0x8,NVIC_ISPR2,32,RW
,,0xC,NVIC_ISPR3,32,RW
,,0x10,NVIC_ISPR4,32,RW
,,0x14,NVIC_ISPR5,32,RW
,,0x18,NVIC_ISPR6,32,RW
,,0x1C,NVIC_ISPR7,32,RW
0xE000E300,INTERUPT_ACTIVE,0x0,NVIC_ICPR0,32,RW
,,0x4,NVIC_ICPR1,32,RW
,,0x8,NVIC_ICPR2,32,RW
,,0xC,NVIC_ICPR3,32,RW
,,0x10,NVIC_ICPR4,32,RW
,,0x14,NVIC_ICPR5,32,RW
,,0x18,NVIC_ICPR6,32,RW
,,0x1C,NVIC_ICPR7,32,RW
0xE000E400,INTERUPT_PRIORITY,0x0,NVIC_IPR0,32,RW
,,0x4,NVIC_IPR1,32,RW
,,0x8,NVIC_IPR2,32,RW
,,0xC,NVIC_IPR3,32,RW
,,0x10,NVIC_IPR4,32,RW
,,0x14,NVIC_IPR5,32,RW
,,0x18,NVIC_IPR6,32,RW
,,0x1C,NVIC_IPR7,32,RW
,,0x20,NVIC_IPR8,32,RW
,,0x24,NVIC_IPR9,32,RW
,,0x28,NVIC_IPR10,32,RW
,,0x2C,NVIC_IPR11,32,RW
,,0x30,NVIC_IPR12,32,RW
,,0x34,NVIC_IPR13,32,RW
,,0x38,NVIC_IPR14,32,RW
,,0x3C,NVIC_IPR15,32,RW
,,0x40,NVIC_IPR16,32,RW
,,0x44,NVIC_IPR17,32,RW
,,0x48,NVIC_IPR18,32,RW
,,0x4C,NVIC_IPR19,32,RW
,,0x50,NVIC_IPR20,32,RW
,,0x54,NVIC_IPR21,32,RW
,,0x58,NVIC_IPR22,32,RW
,,0x5C,NVIC_IPR23,32,RW
,,0x60,NVIC_IPR24,32,RW
,,0x64,NVIC_IPR25,32,RW
,,0x68,NVIC_IPR26,32,RW
,,0x6C,NVIC_IPR27,32,RW
,,0x70,NVIC_IPR28,32,RW
,,0x74,NVIC_IPR29,32,RW
,,0x78,NVIC_IPR30,32,RW
,,0x7C,NVIC_IPR31,32,RW
,,0x80,NVIC_IPR32,32,RW
,,0x84,NVIC_IPR33,32,RW
,,0x88,NVIC_IPR34,32,RW
,,0x8C,NVIC_IPR35,32,RW
,,0x90,NVIC_IPR36,32,RW
,,0x94,NVIC_IPR37,32,RW
,,0x98,NVIC_IPR38,32,RW
,,0x9C,NVIC_IPR39,32,RW
,,0xA0,NVIC_IPR40,32,RW
,,0xA4,NVIC_IPR41,32,RW
,,0xA8,NVIC_IPR42,32,RW
,,0xAC,NVIC_IPR43,32,RW
,,0xB0,NVIC_IPR44,32,RW
,,0xB4,NVIC_IPR45,32,RW
,,0xB8,NVIC_IPR46,32,RW
,,0xBC,NVIC_IPR47,32,RW
,,0xC0,NVIC_IPR48,32,RW
,,0xC4,NVIC_IPR49,32,RW
,,0xC8,NVIC_IPR50,32,RW
,,0xCC,NVIC_IPR51,32,RW
,,0xD0,NVIC_IPR52,32,RW
,,0xD4,NVIC_IPR53,32,RW
,,0xD8,NVIC_IPR54,32,RW
,,0xDC,NVIC_IPR55,32,RW
,,0xE0,NVIC_IPR56,32,RW
,,0xE4,NVIC_IPR57,32,RW
,,0xE8,NVIC_IPR58,32,RW
,,0xEC,NVIC_IPR59,32,RW
0xE000EF00,INTERUPT_TRIGGER,0x0,STIR,32,WO
EOF,,,,,
