Base address,Peripheral name,Offset,Register name,Width,Access
0x40037000,LPIT,0x0,LPIT_VERID,32,RO
,,0x4,LPIT_PARAM,32,RO
,,0x8,LPIT_MCR,32,RW
,,0xC,LPIT_MSR,32,W1C
,,0x10,LPIT_MIER,32,RW
,,0x14,LPIT_SETTEN,32,RW
,,0x18,LPIT_CLRTEN,32,WORZ
,,0x20,LPIT_TVAL0,32,RW
,,0x24,LPIT_CVAL0,32,RO
,,0x28,LPIT_TCTRL0,32,RW
,,0x30,LPIT_TVAL1,32,RW
,,0x34,LPIT_CVAL1,32,RO
,,0x38,LPIT_TCTRL1,32,RW
,,0x40,LPIT_TVAL2,32,RW
,,0x44,LPIT_CVAL2,32,RO
,,0x48,LPIT_TCTRL2,32,RW
,,0x50,LPIT_TVAL3,32,RW
,,0x54,LPIT_CVAL3,32,RO
,,0x58,LPIT_TCTRL3,32,RW
EOF,,,,,
