Base address,Peripheral name,Offset,Register name,Width,Access
0x4002C000,LPSPI0,0x0,LPSPI_VERID,32,RO
,,0x4,LPSPI_PARAM,32,RO
,,0x10,LPSPI_CR,32,RW
,,0x14,LPSPI_SR,32,W1C
,,0x18,LPSPI_IER,32,RW
,,0x1C,LPSPI_DER,32,RW
,,0x20,LPSPI_CFGR0,32,RW
,,0x24,LPSPI_CFGR1,32,RW
,,0x30,LPSPI_DMR0,32,RW
,,0x34,LPSPI_DMR1,32,RW
,,0x40,LPSPI_CCR,32,RW
,,0x58,LPSPI_FCR,32,RW
,,0x5C,LPSPI_FSR,32,RO
,,0x60,LPSPI_TCR,32,RW
,,0x64,LPSPI_TDR,32,WO
,,0x70,LPSPI_RSR,32,RO
,,0x74,LPSPI_RDR,32,RO
0x4002D000,LPSPI1,0x0,LPSPI_VERID,32,RO
,,0x4,LPSPI_PARAM,32,RO
,,0x10,LPSPI_CR,32,RW
,,0x14,LPSPI_SR,32,W1C
,,0x18,LPSPI_IER,32,RW
,,0x1C,LPSPI_DER,32,RW
,,0x20,LPSPI_CFGR0,32,RW
,,0x24,LPSPI_CFGR1,32,RW
,,0x30,LPSPI_DMR0,32,RW
,,0x34,LPSPI_DMR1,32,RW
,,0x40,LPSPI_CCR,32,RW
,,0x58,LPSPI_FCR,32,RW
,,0x5C,LPSPI_FSR,32,RO
,,0x60,LPSPI_TCR,32,RW
,,0x64,LPSPI_TDR,32,WO
,,0x70,LPSPI_RSR,32,RO
,,0x74,LPSPI_RDR,32,RO
0x4002E000,LPSPI2,0x0,LPSPI_VERID,32,RO
,,0x4,LPSPI_PARAM,32,RO
,,0x10,LPSPI_CR,32,RW
,,0x14,LPSPI_SR,32,W1C
,,0x18,LPSPI_IER,32,RW
,,0x1C,LPSPI_DER,32,RW
,,0x20,LPSPI_CFGR0,32,RW
,,0x24,LPSPI_CFGR1,32,RW
,,0x30,LPSPI_DMR0,32,RW
,,0x34,LPSPI_DMR1,32,RW
,,0x40,LPSPI_CCR,32,RW
,,0x58,LPSPI_FCR,32,RW
,,0x5C,LPSPI_FSR,32,RO
,,0x60,LPSPI_TCR,32,RW
,,0x64,LPSPI_TDR,32,WO
,,0x70,LPSPI_RSR,32,RO
,,0x74,LPSPI_RDR,32,RO
EOF,,,,,
