Base address,Peripheral name,Offset,Register name,Width,Access
0x4006A000,LPUART0,0x0,LPUART_VERID,32,RO
,,0x4,LPUART_PARAM,32,RO
,,0x8,LPUART_GLOBAL,32,RW
,,0xC,LPUART_PINCFG,32,RW
,,0x10,LPUART_BAUD,32,RW
,,0x14,LPUART_STAT,32,RW
,,0x18,LPUART_CTRL,32,RW
,,0x1C,LPUART_DATA,32,RW
,,0x20,LPUART_MATCH,32,RW
,,0x24,LPUART_MODIR,32,RW
,,0x28,LPUART_FIFO,32,RW
,,0x2C,LPUART_WATER,32,RW
0x4006B000,LPUART1,0x0,LPUART_VERID,32,RO
,,0x4,LPUART_PARAM,32,RO
,,0x8,LPUART_GLOBAL,32,RW
,,0xC,LPUART_PINCFG,32,RW
,,0x10,LPUART_BAUD,32,RW
,,0x14,LPUART_STAT,32,RW
,,0x18,LPUART_CTRL,32,RW
,,0x1C,LPUART_DATA,32,RW
,,0x20,LPUART_MATCH,32,RW
,,0x24,LPUART_MODIR,32,RW
,,0x28,LPUART_FIFO,32,RW
,,0x2C,LPUART_WATER,32,RW
0x4006C000,LPUART2,0x0,LPUART_VERID,32,RO
,,0x4,LPUART_PARAM,32,RO
,,0x8,LPUART_GLOBAL,32,RW
,,0xC,LPUART_PINCFG,32,RW
,,0x10,LPUART_BAUD,32,RW
,,0x14,LPUART_STAT,32,RW
,,0x18,LPUART_CTRL,32,RW
,,0x1C,LPUART_DATA,32,RW
,,0x20,LPUART_MATCH,32,RW
,,0x24,LPUART_MODIR,32,RW
,,0x28,LPUART_FIFO,32,RW
,,0x2C,LPUART_WATER,32,RW
EOF,,,,,
