Base address,Peripheral name,Offset,Register name,Width,Access
0x40049000,PORTA,0x0,PORTA_PCR0,32,RW
,,0x4,PORTA_PCR1,32,RW
,,0x8,PORTA_PCR2,32,RW
,,0xC,PORTA_PCR3,32,RW
,,0x10,PORTA_PCR4,32,RW
,,0x14,PORTA_PCR5,32,RW
,,0x18,PORTA_PCR6,32,RW
,,0x1C,PORTA_PCR7,32,RW
,,0x20,PORTA_PCR8,32,RW
,,0x24,PORTA_PCR9,32,RW
,,0x28,PORTA_PCR10,32,RW
,,0x2C,PORTA_PCR11,32,RW
,,0x30,PORTA_PCR12,32,RW
,,0x34,PORTA_PCR13,32,RW
,,0x38,PORTA_PCR14,32,RW
,,0x3C,PORTA_PCR15,32,RW
,,0x40,PORTA_PCR16,32,RW
,,0x44,PORTA_PCR17,32,RW
,,0x80,PORTA_GPCLR,32,WORZ
,,0x84,PORTA_GPCHR,32,WORZ
,,0x88,PORTA_GICLR,32,WORZ
,,0x8C,PORTA_GICHR,32,WORZ
,,0xA0,PORTA_ISFR,32,W1C
,,0xC0,PORTA_DFER,32,RW
,,0xC4,PORTA_DFCR,32,RW
,,0xC8,PORTA_DFWR,32,RW
0x4004A000,PORTB,0x0,PORTB_PCR0,32,RW
,,0x4,PORTB_PCR1,32,RW
,,0x8,PORTB_PCR2,32,RW
,,0xC,PORTB_PCR3,32,RW
,,0x10,PORTB_PCR4,32,RW
,,0x14,PORTB_PCR5,32,RW
,,0x18,PORTB_PCR6,32,RW
,,0x1C,PORTB_PCR7,32,RW
,,0x20,PORTB_PCR8,32,RW
,,0x24,PORTB_PCR9,32,RW
,,0x28,PORTB_PCR10,32,RW
,,0x2C,PORTB_PCR11,32,RW
,,0x30,PORTB_PCR12,32,RW
,,0x34,PORTB_PCR13,32,RW
,,0x38,PORTB_PCR14,32,RW
,,0x3C,PORTB_PCR15,32,RW
,,0x40,PORTB_PCR16,32,RW
,,0x44,PORTB_PCR17,32,RW
,,0x80,PORTB_GPCLR,32,WORZ
,,0x84,PORTB_GPCHR,32,WORZ
,,0x88,PORTB_GICLR,32,WORZ
,,0x8C,PORTB_GICHR,32,WORZ
,,0xA0,PORTB_ISFR,32,W1C
,,0xC0,PORTB_DFER,32,RW
,,0xC4,PORTB_DFCR,32,RW
,,0xC8,PORTB_DFWR,32,RW
0x4004B000,PORTC,0x0,PORTC_PCR0,32,RW
,,0x4,PORTC_PCR1,32,RW
,,0x8,PORTC_PCR2,32,RW
,,0xC,PORTC_PCR3,32,RW
,,0x10,PORTC_PCR4,32,RW
,,0x14,PORTC_PCR5,32,RW
,,0x18,PORTC_PCR6,32,RW
,,0x1C,PORTC_PCR7,32,RW
,,0x20,PORTC_PCR8,32,RW
,,0x24,PORTC_PCR9,32,RW
,,0x28,PORTC_PCR10,32,RW
,,0x2C,PORTC_PCR11,32,RW
,,0x30,PORTC_PCR12,32,RW
,,0x34,PORTC_PCR13,32,RW
,,0x38,PORTC_PCR14,32,RW
,,0x3C,PORTC_PCR15,32,RW
,,0x40,PORTC_PCR16,32,RW
,,0x44,PORTC_PCR17,32,RW
,,0x80,PORTC_GPCLR,32,WORZ
,,0x84,PORTC_GPCHR,32,WORZ
,,0x88,PORTC_GICLR,32,WORZ
,,0x8C,PORTC_GICHR,32,WORZ
,,0xA0,PORTC_ISFR,32,W1C
,,0xC0,PORTC_DFER,32,RW
,,0xC4,PORTC_DFCR,32,RW
,,0xC8,PORTC_DFWR,32,RW
0x4004C000,PORTD,0x0,PORTD_PCR0,32,RW
,,0x4,PORTD_PCR1,32,RW
,,0x8,PORTD_PCR2,32,RW
,,0xC,PORTD_PCR3,32,RW
,,0x10,PORTD_PCR4,32,RW
,,0x14,PORTD_PCR5,32,RW
,,0x18,PORTD_PCR6,32,RW
,,0x1C,PORTD_PCR7,32,RW
,,0x20,PORTD_PCR8,32,RW
,,0x24,PORTD_PCR9,32,RW
,,0x28,PORTD_PCR10,32,RW
,,0x2C,PORTD_PCR11,32,RW
,,0x30,PORTD_PCR12,32,RW
,,0x34,PORTD_PCR13,32,RW
,,0x38,PORTD_PCR14,32,RW
,,0x3C,PORTD_PCR15,32,RW
,,0x40,PORTD_PCR16,32,RW
,,0x44,PORTD_PCR17,32,RW
,,0x80,PORTD_GPCLR,32,WORZ
,,0x84,PORTD_GPCHR,32,WORZ
,,0x88,PORTD_GICLR,32,WORZ
,,0x8C,PORTD_GICHR,32,WORZ
,,0xA0,PORTD_ISFR,32,W1C
,,0xC0,PORTD_DFER,32,RW
,,0xC4,PORTD_DFCR,32,RW
,,0xC8,PORTD_DFWR,32,RW
0x4004D000,PORTE,0x0,PORTE_PCR0,32,RW
,,0x4,PORTE_PCR1,32,RW
,,0x8,PORTE_PCR2,32,RW
,,0xC,PORTE_PCR3,32,RW
,,0x10,PORTE_PCR4,32,RW
,,0x14,PORTE_PCR5,32,RW
,,0x18,PORTE_PCR6,32,RW
,,0x1C,PORTE_PCR7,32,RW
,,0x20,PORTE_PCR8,32,RW
,,0x24,PORTE_PCR9,32,RW
,,0x28,PORTE_PCR10,32,RW
,,0x2C,PORTE_PCR11,32,RW
,,0x30,PORTE_PCR12,32,RW
,,0x34,PORTE_PCR13,32,RW
,,0x38,PORTE_PCR14,32,RW
,,0x3C,PORTE_PCR15,32,RW
,,0x40,PORTE_PCR16,32,RW
,,0x80,PORTE_GPCLR,32,WORZ
,,0x84,PORTE_GPCHR,32,WORZ
,,0x88,PORTE_GICLR,32,WORZ
,,0x8C,PORTE_GICHR,32,WORZ
,,0xA0,PORTE_ISFR,32,W1C
,,0xC0,PORTE_DFER,32,RW
,,0xC4,PORTE_DFCR,32,RW
,,0xC8,PORTE_DFWR,32,RW
EOF,,,,,
